ID,achievement_satisfaction,irritation,hurry_to_finalize,self_doubt,rumination,emotional_repression,pessimism,disappointment_fretting,work_detachment,indecisiveness,easily_wound_up,loneliness,weather_mood,achievement_dissatisfaction,impatience,smoking,lack_confidence,unclear_thinking,rushed_work,poor_sleep,alcohol,relaxation_difficulty,poor_concentration,lack_exercise,noise_sensitivity,headaches,clammy_hands,criticism_sensitivity,panic_attacks,distrust,stomach_issues,people_pleasing,distractibility,easily_frightened,time_pressure,StressLevel
1,B,D,C,C,B,B,B,C,B,B,B,B,D,C,C,B,C,C,C,A,B,D,B,B,A,B,C,A,C,C,B,D,D,D,C,Moderate
2,C,C,B,B,C,D,A,A,B,B,B,D,B,C,B,C,A,D,C,B,B,C,C,B,B,D,B,B,A,A,B,B,D,B,A,Moderate
3,C,D,B,C,A,C,C,B,C,C,C,D,B,C,D,C,D,C,B,D,B,C,C,C,A,C,C,B,B,D,B,B,C,D,A,Moderate
4,C,D,C,B,C,C,D,C,A,B,B,B,B,B,C,C,A,B,C,C,D,D,C,B,B,B,C,C,B,B,C,D,B,B,C,Moderate
5,C,B,B,A,B,B,B,C,B,B,B,D,D,B,D,C,B,C,A,D,A,B,B,A,C,B,C,C,D,A,B,A,C,B,C,Moderate
6,C,B,A,C,A,D,C,B,C,C,C,B,B,B,A,C,C,D,D,D,C,C,B,C,A,B,A,B,D,C,B,D,C,B,C,Moderate
7,C,C,B,C,D,B,B,C,D,B,B,B,D,B,A,B,A,C,A,C,D,C,B,C,B,B,C,B,D,B,D,B,C,C,D,Moderate
8,C,D,A,B,C,C,A,B,B,C,B,C,A,C,D,B,B,C,B,A,B,C,B,B,B,C,C,D,D,B,D,B,C,B,B,Moderate
9,B,C,B,C,B,B,B,D,A,D,C,D,B,D,B,B,B,C,B,C,C,B,B,B,B,C,C,B,C,B,A,C,D,C,C,Moderate
10,C,B,B,C,B,D,B,B,D,B,D,B,C,C,C,A,B,A,C,B,C,C,C,C,A,C,C,B,B,B,B,D,B,C,C,Moderate
11,B,B,B,C,B,B,B,B,B,B,B,D,C,A,C,C,C,C,A,D,B,B,A,B,B,C,B,D,B,A,D,C,D,A,B,Moderate
12,C,B,B,C,C,B,D,B,B,B,C,C,B,B,C,C,C,A,C,B,D,A,C,D,B,B,D,B,C,C,D,B,B,B,B,Moderate
13,B,C,B,B,C,C,B,B,B,C,B,D,B,B,C,B,C,A,B,D,A,C,B,D,C,A,C,B,B,B,B,D,C,B,C,Moderate
14,B,C,B,B,B,D,C,B,B,C,D,B,D,B,D,D,C,C,C,B,B,A,C,C,B,B,B,C,B,B,C,A,C,C,C,Moderate
15,A,D,B,D,C,C,A,C,A,A,B,C,D,A,A,C,C,B,A,B,B,B,C,B,A,A,D,B,A,B,C,D,C,C,C,Moderate
16,B,C,B,B,B,A,D,B,B,B,C,B,C,C,A,C,C,C,B,C,B,B,A,B,C,C,B,A,B,D,C,C,D,D,D,Moderate
17,C,B,D,C,B,C,B,C,C,A,C,B,C,B,B,C,A,C,D,B,C,B,C,B,D,C,B,C,B,B,B,D,B,C,A,Moderate
18,B,B,C,B,C,B,B,B,B,C,B,C,D,D,C,B,B,C,B,C,B,C,D,C,C,B,C,B,D,B,D,D,A,B,B,Moderate
19,D,C,C,B,A,C,B,C,C,C,B,C,C,C,B,C,B,C,B,B,B,C,D,C,B,D,B,B,A,C,A,B,A,C,C,Moderate
20,C,C,C,C,D,B,C,B,C,C,B,D,D,D,D,C,A,C,D,B,C,A,A,C,C,B,B,B,C,B,C,B,A,C,C,Moderate
21,B,D,D,C,C,B,B,B,B,C,D,C,C,D,B,B,D,B,D,A,B,C,C,C,A,C,C,C,D,B,C,B,C,C,B,Moderate
22,B,C,A,D,C,B,C,D,D,B,B,C,C,B,B,C,B,B,B,B,D,B,D,B,A,C,B,C,C,C,B,C,D,C,A,Moderate
23,D,D,B,C,A,B,B,C,C,B,D,C,A,B,A,A,B,C,A,B,A,B,B,C,B,C,A,A,C,B,B,B,B,B,D,Moderate
24,C,C,B,C,A,A,C,D,B,B,C,B,A,A,D,C,B,D,C,D,C,D,C,B,B,B,A,B,B,D,C,A,B,C,C,Moderate
