ID,achievement_satisfaction,irritation,hurry_to_finalize,self_doubt,rumination,emotional_repression,pessimism,disappointment_fretting,work_detachment,indecisiveness,easily_wound_up,loneliness,weather_mood,achievement_dissatisfaction,impatience,smoking,lack_confidence,unclear_thinking,rushed_work,poor_sleep,alcohol,relaxation_difficulty,poor_concentration,lack_exercise,noise_sensitivity,headaches,clammy_hands,criticism_sensitivity,panic_attacks,distrust,stomach_issues,people_pleasing,distractibility,easily_frightened,time_pressure,StressLevel
1,B,A,D,D,B,B,B,B,C,C,C,B,D,C,C,D,B,B,D,B,B,B,B,C,B,D,B,D,B,B,C,C,C,D,B,Moderate
2,C,B,B,B,D,D,C,D,D,C,C,A,B,B,B,C,A,C,D,A,C,C,B,B,C,B,B,D,D,B,B,A,C,B,C,Moderate
3,C,C,B,B,B,A,D,D,D,A,C,B,B,B,C,D,C,B,A,C,A,B,B,B,B,C,C,D,B,B,C,C,C,C,B,Moderate
4,C,B,B,B,B,B,B,C,D,B,C,B,B,D,C,C,C,A,C,A,D,B,B,C,A,A,C,C,C,B,C,C,C,A,B,Moderate
5,B,D,B,B,B,B,C,B,D,B,D,C,B,C,B,C,B,D,C,B,C,D,B,C,C,D,C,C,B,B,B,B,D,D,B,Moderate
6,C,C,C,C,A,B,B,D,D,C,D,B,C,D,C,C,B,D,B,B,B,B,B,B,A,B,B,C,B,B,B,D,A,B,C,Moderate
7,B,B,D,B,B,C,C,B,A,B,C,C,C,A,D,B,B,C,B,C,C,C,D,D,B,C,B,B,D,A,A,A,C,D,B,Moderate
8,C,C,B,C,B,C,C,C,C,B,A,A,B,B,D,C,D,C,B,B,D,C,A,C,B,C,B,B,C,C,C,B,D,C,C,Moderate
9,C,D,B,D,B,C,B,A,B,D,C,B,B,B,B,C,B,D,B,C,C,B,C,A,C,C,D,C,C,C,B,B,B,C,D,Moderate
10,C,B,A,C,C,C,C,C,B,C,A,C,D,D,B,B,D,B,C,C,C,D,C,D,C,A,B,B,B,B,B,C,A,C,B,Moderate
11,C,C,B,B,C,B,B,C,B,A,C,C,D,C,B,C,C,D,A,C,B,C,D,B,D,C,D,C,D,B,C,D,C,B,C,Moderate
12,D,B,C,B,C,B,D,B,B,A,C,D,B,D,B,B,C,B,C,B,C,C,C,C,D,B,D,D,B,D,D,B,A,D,B,Moderate
13,B,B,B,B,D,B,C,C,B,C,B,B,B,C,C,B,B,C,B,C,C,A,B,B,C,D,B,A,B,D,B,B,A,B,D,Moderate
14,B,B,C,C,B,C,A,C,C,C,B,C,C,C,B,C,A,C,B,B,B,B,D,D,D,C,C,B,C,B,B,C,B,C,B,Moderate
15,C,C,C,B,D,A,A,A,D,C,C,B,B,C,D,B,C,D,B,D,C,D,A,D,B,C,C,A,B,D,B,D,B,B,C,Moderate
