ID,achievement_satisfaction,irritation,hurry_to_finalize,self_doubt,rumination,emotional_repression,pessimism,disappointment_fretting,work_detachment,indecisiveness,easily_wound_up,loneliness,weather_mood,achievement_dissatisfaction,impatience,smoking,lack_confidence,unclear_thinking,rushed_work,poor_sleep,alcohol,relaxation_difficulty,poor_concentration,lack_exercise,noise_sensitivity,headaches,clammy_hands,criticism_sensitivity,panic_attacks,distrust,stomach_issues,people_pleasing,distractibility,easily_frightened,time_pressure,StressLevel
1,B,C,A,C,A,C,A,C,A,A,B,D,B,D,B,A,B,B,C,B,B,C,A,C,B,C,D,D,B,C,D,D,C,C,C,High
2,B,A,C,B,B,A,A,A,B,A,C,C,C,B,A,B,A,A,A,A,A,C,D,A,C,C,C,B,A,C,C,C,B,A,A,Low
3,B,B,A,B,C,D,C,B,C,C,B,B,B,C,B,C,D,A,C,B,C,D,A,A,C,A,D,C,C,D,A,D,D,D,C,High
4,D,B,B,A,B,B,B,C,C,C,B,A,C,D,C,C,B,B,C,B,C,B,C,B,D,A,A,D,B,D,A,B,B,B,D,High
5,C,B,D,B,C,B,C,B,C,C,A,B,B,A,D,C,D,A,D,B,B,C,A,B,B,A,B,C,C,A,C,D,A,D,B,High
6,A,C,B,B,B,A,B,A,B,B,B,A,A,B,C,D,C,D,B,B,D,D,C,C,C,A,B,C,A,C,B,A,D,A,A,Moderate
7,C,D,B,B,D,B,C,D,B,C,D,B,C,A,B,C,A,B,C,D,A,B,B,B,A,D,A,B,B,C,B,C,D,D,C,High
8,B,C,A,D,C,C,B,A,C,B,B,C,C,A,A,A,C,A,A,C,C,B,B,A,D,C,C,D,D,B,A,B,B,A,B,Moderate
9,B,D,C,B,D,B,A,B,A,B,A,C,A,C,A,D,A,C,C,B,C,A,A,B,A,B,C,B,C,B,B,C,B,B,B,Moderate
10,C,B,A,B,B,C,A,C,A,B,A,C,C,A,A,C,B,C,C,C,B,B,A,C,A,B,B,A,B,D,A,C,C,B,C,Moderate
11,B,B,D,B,C,A,C,D,B,C,B,B,B,C,B,D,B,C,C,D,C,B,C,B,B,D,A,D,A,B,B,B,B,B,A,High
12,C,B,B,B,D,A,B,B,A,C,A,B,C,C,A,A,B,C,B,A,A,D,D,B,B,A,C,D,C,A,B,D,B,B,A,Moderate
13,C,B,C,B,B,C,B,D,B,A,B,D,A,B,D,B,A,A,D,C,A,D,A,D,B,A,D,C,B,C,C,B,C,B,C,High
14,D,A,B,B,C,C,C,C,D,A,B,B,C,A,A,B,A,A,D,C,B,B,A,A,B,C,D,A,C,A,D,B,C,B,B,Moderate
15,A,D,C,A,B,B,B,C,C,A,A,B,A,A,D,B,A,D,C,B,B,B,A,B,A,B,B,C,C,C,C,C,C,B,A,Moderate
16,B,A,C,C,D,A,B,B,B,C,A,D,B,B,B,C,A,C,B,B,A,C,A,B,C,B,D,C,B,D,A,D,B,A,D,Moderate
17,D,A,A,C,A,C,B,B,A,D,D,C,D,A,C,B,D,A,C,C,B,C,B,D,D,B,B,D,D,D,B,B,A,C,B,High
18,B,C,C,B,A,B,B,C,A,D,B,C,B,D,B,C,B,B,D,B,D,D,D,D,B,B,A,A,B,C,A,B,C,B,D,High
19,B,B,A,D,B,C,C,B,D,A,A,B,C,A,C,D,C,B,A,D,B,B,C,B,B,B,B,C,B,C,A,B,C,B,B,Moderate
20,C,C,B,B,B,A,A,A,B,B,B,D,B,A,B,B,A,B,B,A,B,B,A,D,D,A,D,A,D,A,C,C,A,A,D,Moderate
21,C,B,B,C,A,D,B,A,D,A,B,B,B,B,D,B,C,C,B,D,B,A,D,D,D,D,B,C,D,A,D,A,C,C,B,High
22,C,C,B,B,A,B,D,A,C,C,C,D,B,B,B,A,B,B,C,B,B,C,B,C,B,C,C,C,D,A,B,A,A,B,C,Moderate
23,B,A,B,D,B,A,B,B,B,C,C,B,B,B,A,B,C,B,B,B,C,D,D,D,C,A,A,C,B,B,B,D,A,A,B,Moderate
24,A,C,D,C,A,B,C,A,B,B,B,C,C,A,D,C,D,A,A,A,A,A,A,B,C,C,A,A,A,C,B,C,A,C,B,Moderate
25,D,C,C,A,B,A,B,C,C,B,D,C,A,A,A,C,C,D,C,B,C,D,C,C,D,B,B,B,C,B,B,B,B,B,D,High
26,C,A,D,C,B,C,D,C,B,A,A,C,C,B,B,D,B,C,A,A,C,B,C,A,A,A,C,D,B,C,A,C,D,A,C,Moderate
27,D,B,B,A,A,D,C,B,D,C,C,A,D,B,C,B,D,C,A,A,A,A,D,D,B,D,C,A,A,B,A,A,C,A,C,Moderate
28,A,A,C,A,C,C,C,A,A,D,B,B,B,A,C,B,C,B,A,C,A,D,B,B,C,C,C,B,D,A,B,B,D,C,B,Moderate
29,C,A,D,A,C,A,A,C,C,B,D,C,A,C,D,A,D,A,D,B,C,D,C,B,D,B,A,B,D,C,C,B,A,D,B,High
30,C,B,A,B,B,B,C,C,B,A,A,B,D,A,C,B,D,B,C,A,A,D,B,C,B,A,C,C,D,A,B,B,C,C,D,Moderate
31,C,C,B,C,A,B,B,B,C,C,D,A,A,A,A,C,B,A,B,A,A,A,A,A,D,B,A,D,A,B,B,A,C,C,B,Moderate
32,C,B,A,D,B,A,B,B,B,A,B,D,D,C,B,B,D,B,B,C,C,B,A,A,A,B,B,B,A,C,B,B,C,B,C,Moderate
33,B,A,D,A,A,B,C,A,B,B,C,C,B,C,D,B,D,B,A,B,B,D,A,C,D,B,B,B,B,A,B,C,B,B,A,Moderate
34,B,A,B,D,B,B,A,A,B,B,B,C,A,C,C,B,A,B,C,A,C,C,D,D,D,B,B,B,D,B,B,B,B,A,C,Moderate
35,C,D,C,A,B,A,C,A,D,B,A,D,B,A,C,B,A,C,B,B,C,A,D,C,B,A,A,D,A,C,C,B,A,A,B,Moderate
36,B,B,B,A,C,C,C,B,A,B,C,B,C,A,B,B,C,C,B,A,B,C,A,C,B,D,C,C,D,C,A,B,A,C,C,Moderate
37,D,B,A,A,A,B,A,C,A,B,B,C,C,B,B,B,C,A,C,D,B,D,B,A,B,B,A,B,C,C,D,B,A,D,B,Moderate
38,C,A,B,B,D,B,A,B,A,A,C,B,D,C,A,B,D,B,A,A,A,B,A,B,D,C,C,C,C,A,C,C,C,A,C,Moderate
39,D,B,B,D,C,A,A,A,C,C,A,C,C,B,B,D,D,A,C,A,B,B,A,A,B,C,A,B,B,D,D,A,D,C,A,Moderate
40,A,A,A,B,C,C,B,B,C,C,B,A,B,C,B,C,C,B,C,B,A,D,B,B,A,A,D,A,C,B,A,A,A,A,A,Moderate
41,B,C,C,C,D,B,D,A,B,A,D,B,C,B,A,C,A,C,B,D,C,C,C,B,A,A,B,C,D,B,A,B,A,D,B,Moderate
42,A,C,A,B,A,D,C,C,C,C,A,A,B,B,A,C,B,A,C,B,A,B,B,A,C,C,D,A,B,A,C,C,B,A,B,Moderate
43,D,B,C,C,A,C,C,B,A,B,D,C,A,A,B,D,C,A,A,D,B,A,A,B,D,C,D,A,B,A,C,C,B,A,A,Moderate
44,B,C,B,A,C,C,A,A,B,A,A,B,C,B,D,B,D,C,A,C,A,C,A,A,B,D,C,C,B,D,C,C,B,C,B,Moderate
45,D,A,D,C,B,D,A,A,A,A,B,A,B,A,B,A,A,C,A,A,D,C,B,B,C,A,C,B,C,D,B,C,B,D,D,Moderate
46,D,D,B,D,C,D,C,B,C,C,C,A,C,D,A,B,B,B,B,C,C,B,B,B,D,D,A,D,D,D,B,C,C,A,D,High
47,A,B,A,B,B,C,C,B,B,B,B,D,B,B,A,B,B,B,C,D,C,B,A,C,D,B,A,C,B,A,A,D,A,A,C,Moderate
48,C,B,D,A,A,B,C,C,A,C,A,B,A,C,C,A,A,B,C,B,B,B,D,A,B,B,B,B,C,B,A,D,A,A,B,Moderate
49,C,D,B,C,B,D,B,D,A,C,C,C,A,B,A,C,A,C,B,D,B,A,A,C,D,C,B,C,C,D,D,B,A,D,C,High
50,D,A,C,C,D,D,C,D,B,C,A,B,D,C,A,A,C,D,C,C,B,A,A,D,D,A,B,D,D,B,A,B,C,C,C,High
51,B,D,C,A,D,D,A,B,A,B,A,B,B,A,B,B,D,B,B,D,C,D,C,C,B,D,B,C,B,C,A,B,C,B,B,High
52,A,D,B,D,C,B,D,A,A,C,A,B,A,C,B,A,C,C,B,B,B,C,A,C,B,B,B,A,C,A,B,B,B,C,A,Moderate
53,C,B,B,C,B,B,C,B,B,C,A,A,D,C,C,A,A,D,D,D,B,B,D,B,A,C,B,B,C,B,A,D,C,B,B,High
54,D,B,A,B,B,A,B,A,B,B,B,D,A,A,C,B,B,A,B,D,B,B,A,B,C,C,B,A,B,B,C,B,B,B,C,Moderate
55,B,B,B,B,B,B,D,D,B,B,A,D,C,B,B,B,C,B,A,B,C,C,A,A,C,B,B,A,B,B,B,D,B,B,C,Moderate
