ID,achievement_satisfaction,irritation,hurry_to_finalize,self_doubt,rumination,emotional_repression,pessimism,disappointment_fretting,work_detachment,indecisiveness,easily_wound_up,loneliness,weather_mood,achievement_dissatisfaction,impatience,smoking,lack_confidence,unclear_thinking,rushed_work,poor_sleep,alcohol,relaxation_difficulty,poor_concentration,lack_exercise,noise_sensitivity,headaches,clammy_hands,criticism_sensitivity,panic_attacks,distrust,stomach_issues,people_pleasing,distractibility,easily_frightened,time_pressure,StressLevel
1,C,B,B,C,C,D,B,D,B,A,B,B,C,B,C,C,C,B,B,C,C,C,B,D,B,C,C,C,D,C,C,D,B,B,A,Moderate
2,C,B,C,D,B,A,D,B,D,A,B,A,C,D,C,D,D,C,B,C,D,B,C,D,B,D,B,C,A,B,C,B,C,A,B,Moderate
3,B,C,D,D,A,B,B,B,D,A,C,C,B,D,C,A,A,C,C,C,C,B,D,C,C,C,C,B,C,B,C,C,B,B,C,Moderate
4,B,A,C,C,C,A,C,A,B,B,C,A,D,B,B,B,A,B,C,B,B,B,A,C,B,C,B,C,C,B,B,C,C,A,D,Moderate
5,C,C,D,C,B,B,A,B,B,D,B,C,B,C,B,D,D,A,C,D,B,B,C,B,C,B,B,C,C,C,B,C,C,B,D,Moderate
6,A,D,B,B,C,C,B,B,A,B,B,C,B,B,C,B,B,B,B,B,C,B,A,B,B,C,C,B,B,C,B,C,C,B,D,Moderate
7,B,B,B,C,B,B,C,A,B,C,C,A,D,B,B,D,B,C,B,C,C,D,B,C,C,D,B,A,B,C,C,A,C,D,B,Moderate
8,B,B,C,C,B,C,A,C,B,D,C,C,C,D,B,B,B,A,D,D,C,C,C,B,C,C,B,C,B,D,C,A,B,B,B,Moderate
9,B,D,C,C,B,D,D,B,A,B,C,A,C,B,D,B,D,D,C,B,B,B,B,B,B,B,B,B,B,C,A,C,C,A,C,Moderate
10,D,B,B,C,C,C,B,C,C,D,A,D,B,B,B,D,C,C,B,C,D,B,B,B,A,C,B,B,C,A,B,C,B,B,B,Moderate
11,C,B,C,C,B,D,C,D,B,C,D,C,C,B,D,D,D,A,B,D,D,C,D,C,C,B,C,D,A,B,D,C,B,B,C,Moderate
12,B,C,C,C,B,B,C,D,D,B,B,D,B,B,C,B,D,C,B,B,B,C,B,B,B,A,D,C,C,C,B,A,B,A,D,Moderate
13,D,D,B,B,B,B,A,B,A,B,C,D,C,C,C,A,B,B,D,D,D,C,C,C,D,D,C,B,D,B,B,B,B,D,B,Moderate
14,B,D,B,B,A,C,B,C,D,B,A,C,B,A,B,C,B,D,C,B,C,B,B,D,C,A,C,C,B,D,B,B,B,C,C,Moderate
15,B,C,C,B,B,C,C,C,A,B,C,D,B,C,B,B,C,B,C,B,B,B,B,B,B,C,D,B,C,B,B,C,C,B,D,Moderate
16,A,C,C,C,B,A,B,B,B,C,C,C,D,D,B,A,D,C,D,C,A,D,C,D,C,D,C,C,A,B,D,C,B,D,C,Moderate
17,B,B,C,C,B,D,D,D,B,B,D,D,C,B,A,B,C,C,B,B,C,B,D,C,B,B,B,B,C,B,A,B,B,B,B,Moderate
18,C,B,B,D,B,B,B,C,C,B,B,A,B,C,D,A,B,C,B,D,A,C,B,B,B,B,B,C,B,A,B,B,B,C,B,Moderate
19,B,B,D,B,D,B,A,B,C,C,C,D,C,B,B,B,D,B,B,B,C,B,D,C,B,B,D,B,D,B,C,A,C,C,D,Moderate
20,B,C,C,C,C,B,B,B,B,C,A,D,B,B,B,B,B,D,C,B,C,B,A,C,C,C,B,B,C,C,C,B,C,C,C,Moderate
21,C,D,C,C,B,B,C,B,C,D,A,B,C,D,A,B,B,C,B,C,C,B,B,D,C,C,C,C,C,D,A,A,B,B,B,Moderate
22,C,A,C,C,C,A,C,B,B,B,B,B,D,C,B,C,B,B,C,C,A,C,D,C,B,C,B,C,C,B,C,D,B,D,B,Moderate
23,C,C,A,C,C,C,B,B,C,C,C,B,C,A,C,D,B,C,C,B,A,B,C,A,C,C,C,C,B,A,D,C,B,C,D,Moderate
24,C,B,C,A,B,C,B,D,D,B,C,B,C,B,D,B,C,D,D,C,B,C,B,B,D,B,C,A,A,C,C,C,B,B,B,Moderate
25,B,C,B,B,B,B,D,B,C,B,D,C,B,D,D,B,C,C,B,D,B,C,D,D,B,B,C,C,D,B,C,D,B,B,C,Moderate
26,B,B,C,C,B,A,C,D,B,B,B,A,C,B,A,C,B,B,C,B,C,B,D,D,D,D,B,D,A,D,C,C,B,C,B,Moderate
27,A,C,C,B,B,B,D,B,D,B,D,B,C,C,C,D,C,B,D,B,C,C,C,B,C,C,B,B,D,C,C,D,D,C,A,Moderate
28,B,B,A,C,B,D,B,D,D,B,C,B,D,B,B,B,D,B,D,C,B,C,B,B,C,A,D,B,A,D,C,D,B,C,B,Moderate
29,D,C,B,C,C,B,C,B,B,A,B,C,C,D,B,B,A,B,B,B,A,C,B,C,B,B,B,B,D,D,C,C,A,C,B,Moderate
30,A,C,C,C,B,B,C,C,C,C,C,B,D,C,C,C,C,C,A,B,B,A,C,C,B,C,D,C,C,B,C,B,B,C,C,Moderate
